;system design;concept design;knowledge engineering;system integration;product design;knowledge management;product support;decision support;link analysis;detailed design;test report;information search;feature processing;resource description;system specification;product data management;knowledge capture;access product design data;system identification;engine analysis;configuration management;data validation;information classification;data storage;knowledge base building;semantic representation;knowledge classification;knowledge storage;project planning;business process integration;failure management;preliminary design;data visualization;information sharing;ground test;calculation report;design space visualization;mission analysis;life cycle simulation;flight test;product verification;knowledge exploration;knowledge discovery;customer service;general assembly;context inference;ontology modeling;conceptual modelling;workflow management;flight test report;system synthesis;multidisciplinary modeling;express ontology;knowledge based engineering;information push;enterprise resource planning;disciplinary analysis;descriptive information generation;physical sensing;ontological engineering;information clustering;automated reasoning;structural solver;manufacturing preparation;problem solving;multimedia document processing;terminology recognition;nation decision;design blueprint;tooling development;share documents;mdo process formulation;generate fem model;semantic lexicon;design concepts formalization;airworthiness test;interest profiling;activity profiling;system architecting;wf execution;convert file formats;accessory manufacture;managing project files;digital mockup;identify different tooling types;engine accessory purchase;semantic information transferring;issue tc pc ac certification;software interlinking;wide body transports;knowlege graph construction;pattern analyis;knowledge systematisation;processe data;product data management system;share point;express application;expert systems;web server;file server;java application;workflow systems;data mining;visualization package;engineering java programming;python application;learning tools;cloud visualization;cad programming interface;triple store;fortran application;oracle server;surrogate model repository;eclipse plugin;inverted index;optimus workflow management tool;brics technology;nextgen avionics systems;vampzero element;jupyter notebook;gkn fokker;electronic bulletin boards;nasa ames function table processor scripts;knowledge mangement tool;cad representation vdsm;software interlinking tools;cpacspy library;qfview web interface;swf software package rce;knowledge base;system definition;section description;measurement data;manufacturing method;external web page;cad representation;mind map;explicit geometry;live video;cfd simulation data;cfd code;implicit geometry;design parts;sysml model;word doc;lexical data;process definitions;object definitions;point clouds;tooling parts;pdf files;word processor documents;tools needed;formatted documents;direct api;ms word;flat file;ms excel;owl dl;topic maps;aerospace ontology;nasa taxonomy;orbital space environment domain ontology;airspace system ontology;bond graphs
Cai et al. - 2021 - Online Monitoring of Ship Block Construction Equip;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0;-1;0;0;0;0;0;1391;0;0;0;11942;0;0;0;58915;0;0;0;0;0;0;0;0;0;37734;-1;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;0;0;18543;-1;-1;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;-1;-1;-1;0;0;0;-1;0;0;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;1001;0;2031;0;0;0;0;0;0;0;0;-1;0
Villalpando - 2022 - Mobile CubeSat Command and Control Ground Station ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1492;0;0;0;3437;0;0;-1;0;17136;0;0;0;0;-1;0;0;0;3963;0;0;4817;-1;0;0;0;0;0;0;0;0;-1;0;-1;-1;0;0;0;-1;-1;0;0;-1;-1;0;0;0;0;0;0;11087;0;-1;0;0;-1;0;-1;-1;-1;-1;0;-1;0;-1;0;0;0;-1;-1;-1;-1;-1;0;0;0;4034;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;1996;0;0;0;2789;0;0;7376;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;1700;0;0;0;0;0;0;0;0;-1;0
Liu et al. - 2021 - Integrating Building Information Model and Augment;0;0;0;0;0;0;0;0;0;-1;2531;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;1991;0;0;-1;1918;0;0;0;0;0;0;0;0;0;3780;2531;0;-1;0;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;0;-1;0;-1;0;-1;0;-1;0;-1;0;-1;0;0;-1;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18674;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;5883;0;0;0;0;0;0;0;-1;0
Currie - A Flexible 3D-Visualisation Engine With Force-Feed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7540;-1;0;12302;-1;-1;0;0;0;0;0;0;0;0;-1;0;0;0;3024;0;0;24205;0;0;0;0;0;0;-1;-1;-1;-1;0;-1;-1;0;0;0;-1;0;14058;0;-1;-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;0;-1;0;-1;-1;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;67551;0;-1;14562;-1;-1;0;0;-1;0;0;0;0;0;0;0;-1;45572;-1;0;-1;0;0;0;0;0;0;0;-1;0
Murali - 2006 - A Systems Engineering Approach to Small Satellite ;0;0;0;0;0;0;0;0;1374;0;0;0;0;0;0;0;0;0;0;0;1032;0;0;0;6133;0;5975;2033;0;0;0;0;0;0;0;27606;0;0;21544;0;0;0;0;0;0;0;-1;0;-1;4752;-1;4173;-1;3413;0;-1;0;0;0;0;-1;0;0;0;0;-1;0;0;0;-1;4903;0;24495;0;21666;-1;0;-1;0;-1;0;-1;0;0;-1;-1;0;0;-1;-1;0;-1;-1;1792;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;2186;0;0;0;1003;0;0;-1;0;0;15323;0;0;0;0;0;0;0;0;0;0;0;78868;0;0;0;0;0;0;0;0;0;-1;0
Huang - 2021 - Technology Impact Forecasting for Multi-functional;0;0;0;0;0;0;0;0;0;0;0;0;5328;0;0;0;0;5407;0;0;1916;0;-1;0;6874;0;-1;5460;0;0;40358;0;0;0;0;9872;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;2409;-1;0;0;-1;0;0;0;-1;-1;0;0;0;0;-1;0;0;0;0;0;-1;-1;0;-1;0;-1;0;0;-1;0;-1;0;0;9185;-1;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;39457;-1;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;-1;0;0;-1;0
Lindley - 1997 - A behavioural paradigm of artificial intelligence ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6624;0;0;3065;0;0;0;0;0;0;0;0;0;0;0;0;0;1089;0;0;0;1155;1254;0;0;-1;0;0;0;0;0;-1;1822;0;-1;0;0;0;-1;-1;11954;0;-1;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;-1;-1;-1;-1;0;-1;0;-1;0;0;0;-1;0;18555;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1447;-1;0;0;0;0;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;1775;0;0;-1;0;0;2427;0;-1;0;0;0;0;0;-1;0;0;2711;17826;0;-1;0;0;0;0;0;0;0;-1;0
Whited - 2022 - Design of a Co-Orbital Threat Identification Syste;0;0;1194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;36456;0;0;-1;0;0;0;0;0;0;41597;0;0;0;0;8830;0;0;116737;0;0;1700;0;0;0;0;-1;0;-1;1100;-1;-1;1290;0;0;-1;0;24426;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;-1;0;-1;-1;0;-1;0;-1;0;0;0;-1;0;-1;-1;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;5218;0;0;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;1304;0;2626;0;0;0;0;0;0;0;0;-1;0
Bartley et al. - 2020 - Organizing genome engineering for the gigabase sca;0;-1;0;0;0;0;0;-1;12497;0;0;0;-1;0;0;1147;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;-1;0;0;0;0;0;0;11308;0;0;0;0;0;0;-1;0;0;0;-1;0;-1;0;0;0;-1;6426;-1;0;-1;0;0;0;0;0;0;0;-1;0;0;0;-1;-1;0;0;-1;0;0;0;-1;0;0;0;-1;2236;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;1509;2526;0;0;0;3022;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
Di Giulio et al. - 2015 - The BIM-GIS model for EEBS integrated in healthcar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1760;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;3948;0;0;0;0;0;28250;0;0;0;5792;0;0;0;0;0;-1;0;11701;2550;26195;0;0;0;0;0;14712;0;0;0;-1;0;-1;-1;0;-1;-1;-1;-1;0;-1;0;-1;0;-1;-1;-1;0;11009;15515;-1;-1;0;-1;0;0;0;0;0;0;0;4745;0;0;0;0;0;0;1434;0;0;-1;0;0;0;0;0;-1;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;0;45928;0;-1;0;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0
Vincent-Boulay - 2020 - Master of Applied Sciences (Mechanical Engineering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1755;0;0;0;0;3582;0;0;0;0;0;0;0;7594;6046;0;0;0;7657;0;0;-1;0;0;0;5870;0;0;0;-1;0;-1;0;0;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;-1;0;0;0;-1;0;-1;-1;0;-1;0;0;-1;0;-1;0;-1;0;0;0;-1;0;-1;-1;-1;0;-1;-1;0;1033;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
O’Brien et al. - 2011 - Verification, validation and accreditation using a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1808;0;4478;0;0;7335;0;2282;30375;0;0;11106;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;-1;-1;-1;0;14403;2070;-1;3624;0;-1;-1;0;0;0;0;-1;0;0;-1;-1;0;0;-1;0;-1;-1;-1;-1;0;0;0;-1;0;-1;-1;-1;0;27933;-1;-1;0;-1;-1;0;1808;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;-1;0;-1;0;0;0;0;0;-1;-1;0;0;0;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;0;27444;0;0;0;0;1011;1226;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0
Jamieson - 1998 - Ecological interface design for petrochemical proc;0;0;0;0;0;0;0;0;0;0;6576;0;0;0;0;0;0;2789;0;0;0;0;0;8570;-1;0;7633;0;0;0;6960;-1;0;0;0;45383;0;0;5788;-1;0;0;0;0;0;-1;-1;0;-1;-1;-1;-1;0;1201;-1;-1;0;1939;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;-1;-1;0;-1;0;-1;0;0;0;-1;0;-1;-1;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;-1;0;0;15934;0;0;0;0;-1;0;0;0;0;0;0;0;3054;15081;0;0;0;0;0;0;0;0;0;0;-1;0
Wang - 2021 - A graph-based methodology for context-aware smart ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1725;0;0;0;3598;0;3221;0;0;0;0;7372;0;0;0;-1;0;0;0;0;0;-1;0;0;8291;-1;-1;-1;0;0;0;5860;7212;-1;0;-1;0;0;0;0;0;14212;0;0;0;-1;6141;0;-1;0;-1;-1;-1;-1;0;-1;0;25374;0;-1;-1;17510;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;13254;-1;0;0;0;0;0;0;0;0;0;-1;0
Hiranaka - 1999 - An integrated, modular simulation system for educa;0;0;0;0;0;0;8080;-1;0;2230;0;0;0;0;0;0;0;5387;0;0;0;3374;-1;11139;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;-1;-1;-1;0;0;12127;0;0;0;0;0;-1;0;-1;-1;-1;0;-1;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;2211;-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;11060;0;0;-1;0;0;0;0;-1;0;0;6722;0;0;0;0;-1;5447;-1;0;3543;0;0;0;0;0;0;0;-1;0
Panagis et al. - Curriculum Committee Meeting Tuesday, April 4, 202;0;0;0;0;0;0;5205;0;3792;4494;1207;0;0;0;0;0;0;45800;0;0;-1;-1;0;0;0;0;22968;0;0;0;0;-1;0;0;0;0;0;0;-1;27312;0;0;0;0;0;0;0;0;-1;27312;0;0;0;0;0;-1;0;-1;-1;6732;0;0;0;0;0;0;0;14302;0;0;0;0;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;1027;0;0;0;-1;0;0;11736;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;21858;0;0;-1;0
Board - 2006 - Issues Affecting the Future of the US Space Scienc;0;0;0;0;0;0;0;0;7991;0;0;0;0;0;0;0;0;3387;0;0;0;-1;0;0;5132;0;0;0;0;0;0;18344;0;0;0;0;0;0;26049;0;0;0;0;0;0;0;-1;0;-1;0;0;33964;-1;1274;0;8037;6128;0;1674;-1;0;0;0;0;0;-1;0;0;0;0;-1;-1;-1;0;-1;0;-1;-1;0;-1;0;-1;0;0;-1;0;0;-1;-1;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;17573;0;0;0;0;0;0;0;-1;0;0;-1;0
Hart et al. - Austin Villa@ Home 2018 DSPL Team Description Pape;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;-1;-1;0;-1;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;4301;0;0;0;0;0;0;0;0;-1;0
Ramos Alarcon - 2011 - Parametric Design within an Atomic Design Process ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1498;0;0;0;2402;0;0;0;0;0;0;0;0;0;38941;0;0;0;0;0;0;0;-1;0;-1;0;0;182012;-1;0;0;14216;0;-1;0;-1;4086;0;0;0;0;-1;0;0;0;-1;0;-1;6816;0;-1;-1;-1;-1;0;208033;0;-1;0;0;-1;-1;0;5828;-1;-1;0;-1;-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;47999;0;-1;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;5229;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
Wzorek et al. - 2006 - From motion planning to control-a navigation frame;0;0;7602;0;0;0;0;0;0;0;1183;0;0;0;-1;0;0;-1;0;0;-1;-1;-1;0;0;0;0;0;0;0;-1;0;0;0;0;24180;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;1689;-1;0;0;7602;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;-1;0;-1;-1;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;4937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;-1;0
Warringa - 2023 - Designing Real Time Insights Dasboards for SME Man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;-1;31304;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;2200;-1;-1;0;0;0;0;0;0;-1;-1;0;0;0;0;-1;0;0;0;0;0;-1;-1;0;-1;-1;0;0;0;-1;0;0;0;-1;-1;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;-1;0;0;55855;0;0;-1;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0
Jiang et al. - 2019 - Austin Villa@ Home 2020 Team Description Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;-1;-1;-1;-1;0;4749;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;-1;0
Tan - 2021 - Enterprise Architecting for Tacit Knowledge Transf;0;0;0;0;0;0;0;1802;0;0;6459;0;0;0;-1;0;0;4371;-1;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;15778;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;0;0;1381;0;0;0;2923;0;0;0;0;0;51771;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;-1;0;-1;0;0;0;-1;0;123086;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;2089;0;0;0;7413;0;0;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;7667;0;0;0;0;0;0;0;0;0;0;-1;0
Buchan - 2023 - Pushing the Boundaries of Spacecraft Autonomy and ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3637;0;0;0;0;1953;0;1855;0;2272;0;0;0;0;0;0;0;0;1277;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;-1;96586;-1;0;0;-1;0;-1;0;-1;0;0;0;0;0;-1;0;0;0;-1;14207;0;0;0;-1;0;0;-1;0;1473;0;-1;0;0;0;-1;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;-1;0;-1;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;2694;0;0;0;0;1504;0;0;-1;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0
Hazra et al. - 2023 - Design and Implementation of a Behavioral Sequence;0;0;0;0;0;0;0;0;0;0;40007;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;-1;-1;0;0;0;0;0;0;-1;0;0;0;-1;-1;-1;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3993;0;0;0;0;0;0;0;0;0;0
Aurelia et al. - 2022 - Sustainable Advanced Computing Select Proceedings;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;-1;0;8216;0;0;0;0;-1;0;-1;0;-1;-1;-1;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;1507;-1;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0
Zhao - 2020 - Towards a Proactive Real-Time Data-Driven Musculos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8884;0;0;0;0;5211;0;0;4764;-1;0;0;0;0;0;0;-1;0;0;-1;1097;-1;-1;0;0;-1;-1;383892;0;-1;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;-1;-1;-1;-1;0;-1;0;-1;0;-1;-1;-1;0;-1;-1;-1;0;-1;0;0;0;0;0;0;0;0;-1;1370;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;13550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;-1;0
Johnston - 2000 - Issues for Using Computing and Data Grids for Larg;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;-1;32433;0;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;-1;-1;0;0;0;0;0;-1;0;-1;-1;0;0;7255;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1606;0;0;0;0;0;0;0;0;-1;0
Li - 2023 - Teach Large Language Models the Concept of Meta-co;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;19292;0;0;0;0;0;0;0;0;0;0;0;0;0;3339;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;-1;-1;-1;0;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;-1;0;0;0;0;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;0
Cocchiara et al. - CORSO DI LAUREA;0;0;0;0;0;0;0;0;1124;-1;0;0;0;0;0;0;0;4893;-1;0;0;0;0;0;0;0;-1;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;-1;-1;-1;0;2430;0;30730;0;-1;0;-1;0;0;0;0;0;0;0;1714;0;-1;0;0;0;0;0;-1;-1;0;0;-1;0;-1;0;0;0;-1;0;-1;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;-1;0;0;9304;-1;0;0;0;-1;0;0;0;0;6723;0;0;-1;4985;-1;0;0;0;0;0;0;-1;0;0;-1;0
Vincent-Boulay - 2020 - A Neural Network Approach to Aircraft Performance ;0;0;0;0;0;0;0;0;1593;0;0;0;0;0;0;0;0;1682;0;0;0;0;3438;0;0;0;0;0;0;0;7225;5880;0;0;0;7933;0;0;-1;0;0;0;5723;0;0;0;-1;0;-1;0;0;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;-1;0;0;0;-1;0;-1;-1;0;-1;0;0;-1;0;-1;0;-1;0;0;0;-1;0;-1;-1;-1;0;-1;-1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
Sun et al. - 2024 - TrustLLM Trustworthiness in Large Language Models;0;0;0;0;0;0;0;0;1663;0;0;0;0;0;0;0;0;3252;1028;0;7603;0;0;0;2815;0;0;0;13176;0;10316;4978;0;0;0;0;0;0;90725;-1;0;0;0;0;0;0;-1;3769;-1;-1;0;-1;-1;0;0;117315;0;-1;0;-1;0;0;0;0;0;11924;0;0;0;-1;0;-1;0;0;-1;-1;0;-1;0;-1;0;-1;0;0;-1;-1;0;243265;-1;-1;0;0;0;0;0;0;0;0;0;0;19386;0;0;0;0;0;0;12034;0;0;-1;0;0;0;0;0;0;0;-1;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;26374;-1;0;0;0;-1;0;0;0;0;-1;0;0;-1;0;107820;0;0;0;0;0;0;-1;0;0;-1;0
